group,degrade_type,n,rank_acc_mild_gt_severe,margin_acc,monotonic_acc_clean_gt_mild_gt_severe,mean_gap_mild_minus_severe,mean_gap_clean_minus_mild,mild_level,severe_level
optical_dynamic,defocus_blur,78,0.8974358974358975,0.8974358974358975,0.8717948717948718,14.766627400349348,6.022307481521215,5,11
optical_dynamic,motion_blur,78,0.8717948717948718,0.8205128205128205,0.7564102564102564,5.40363903534718,6.2710406841375885,5,11
optical_dynamic,radial_distortion,78,0.7564102564102564,0.6025641025641025,0.41025641025641024,2.282456275744316,-0.004658980247301933,0.08,0.18
occlusion,occlude,78,0.8717948717948718,0.717948717948718,0.5897435897435898,2.57024290622809,0.5559510206564878,0.15,0.3
photometric,low_light,78,0.8461538461538461,0.7692307692307693,0.717948717948718,5.2705290745466185,6.5927982574854145,0.6,0.25
photometric,overexpose,78,0.8461538461538461,0.8333333333333334,0.6025641025641025,20.600134298587456,4.110363624034783,1.5,3.0
digital,jpeg_compression,78,0.9743589743589743,0.9743589743589743,0.8461538461538461,19.349519026585114,4.003201435773801,48,14
digital,low_resolution,78,0.5128205128205128,0.48717948717948717,0.46153846153846156,0.7690876814035269,6.2024018336565065,0.5,0.25
roi_geometry,roi_shift,78,0.5897435897435898,0.47435897435897434,0.1282051282051282,0.911457746456831,-2.078601299188076,0.06,0.16
roi_geometry,roi_crop_off,78,0.9743589743589743,0.9615384615384616,0.20512820512820512,9.0603045072311,-1.4101282021938226,0.1,0.25
roi_geometry,roi_padding,78,1.0,1.0,0.7692307692307693,21.967600175967583,2.1639151817713027,0.08,0.18
roi_geometry,roi_rotate,78,0.5512820512820513,0.4358974358974359,0.10256410256410256,0.7190772325564654,-2.1562892473660984,8,24
roi_geometry,roi_scale_error,78,0.5641025641025641,0.48717948717948717,0.32051282051282054,1.2341982279068384,-0.48416786927443284,0.1,0.25
optical_dynamic,__group_average__,234,0.8418803418803419,0.7735042735042735,0.6794871794871795,7.484240903813615,4.096229728470501,,
occlusion,__group_average__,78,0.8717948717948718,0.717948717948718,0.5897435897435898,2.57024290622809,0.5559510206564878,,
photometric,__group_average__,156,0.8461538461538461,0.8012820512820513,0.6602564102564102,12.935331686567038,5.351580940760099,,
digital,__group_average__,156,0.7435897435897436,0.7307692307692307,0.6538461538461539,10.05930335399432,5.102801634715154,,
roi_geometry,__group_average__,390,0.735897435897436,0.6717948717948717,0.30512820512820515,6.7785275780237635,-0.7930542872502253,,
